Mot/Expression,Frequence
worthless,5
feelings,4
good,3
youre worthless,2
im,2
ive,2
feeling,2
feel,2
social,2
maybe,2
round,2
youre,2
person,2
person worthless,1
saturated,1
sleep,1
situations relationships,1
situations,1
new people,1
shouldnt ive,1
shouldnt,1
sense motivating,1
sense,1
selfesteemotherwise round,1
selfesteemotherwise,1
saturated belief,1
ones,1
ones state,1
purpose,1
people,1
round trying,1
round round,1
people hang,1
remove situations,1
remove,1
relationships harm,1
relationships,1
read ones,1
read,1
purpose lifealso,1
person lives,1
sleep think,1
state,1
social context,1
withseriously social,1
trying understand,1
understand,1
understand youre,1
wanted,1
wanted fix,1
withseriously,1
worthless crowd,1
tried contemplated,1
worthless good,1
worthless maybe,1
worthless shouldnt,1
worthless thinks,1
worthlessness,1
worthlessness good,1
trying,1
tried,1
social media,1
terriblebad,1
need new,1
state person,1
suicide,1
suicide ive,1
terrible,1
terrible feeling,1
terriblebad feelings,1
today,1
things,1
things feelings,1
think,1
think im,1
thinks,1
thinks youre,1
new,1
againthere,1
need,1
feelings barely,1
doesnt,1
doesnt feel,1
feel good,1
feel terrible,1
feeling worthless,1
feeling worthlessness,1
feelings feel,1
culture,1
feelings living,1
feelings today,1
fix,1
fix issues,1
going,1
going things,1
culture saturated,1
crowd knocked,1
good sense,1
big,1
barely,1
barely sleep,1
belief,1
belief doesnt,1
better,1
better feelings,1
big influence,1
crowd,1
change,1
change feeling,1
contemplated,1
contemplated suicide,1
context,1
context person,1
good purpose,1
good terriblebad,1
motivation remove,1
maybe read,1
lifealso culture,1
lives,1
lives big,1
living,1
living motivation,1
maybe need,1
media,1
knocked againthere,1
media maybe,1
messages,1
messages social,1
motivating,1
againthere inspirational,1
motivation,1
lifealso,1
knocked,1
goodbad,1
im worthless,1
goodbad feelings,1
hang,1
hang withseriously,1
harm,1
harm goodbad,1
im going,1
influence,1
ive wanted,1
influence selfesteemotherwise,1
inspirational,1
inspirational messages,1
issues,1
issues change,1
ive tried,1
motivating better,1
